ID,英文詞彙,中文名詞,越南語,印尼語,緬甸文,泰文,柬埔寨文,資料來源,法令,注解,菲律賓文,更新日期
21377867,Salpingitis,輸卵管炎,pid(bệnh viêm vùng chậu),Salpingitis,,,,,,,,
21377868,PID (Pelvic inflammatory disease),骨盆腔炎,X,Radang rongga panggul,,,,,,,,
21377869,Thrush/Candidiasis/ Leukorrhea,白帶,bệnh nấm candida/bệnh bạch đái,Keputihan,,,,,,,,
21377870,Trichomoniasis,陰道滴蟲病,bệnh do trichomonas,Trikomoniasis vagina,,,,,,,,
21377871,Gonococci,淋菌,lậu cầu khuẩn gonococci,Gonokokus,,,,,,,,
21377872,Syphilis,梅毒,bệnh giang mai,Sifilis,,,,,,,,
21377873,VD (venereal disease),性病,vd (bệnh hoa liễu),Penyakit kelamin,,,,,,,,
21377874,Gonorrhea,淋病,bệnh lậu,Gonore,,,,,,,,
21377875,Condyloma acuminatum/Wart,菜花,bệnh sùi mào gà/ mụn cóc,Kondiloma akuminata/kutil kelamin,,,,,,,,
21377876,Herpes simplex/ Shingle,單純性泡疹,bệnh mụn rộp/bệnh dời bò,Herpes simpleks,,,,,,,,
21377877,Bartholin’s glands,巴索林式腺體,tuyến ở hai bên âm đạo,Kelenjar Bartholin,,,,,,,,
21377878,Bartholin’s cyst,巴索林式囊腫,u nang tuyến ở hai bên âm đạo,Kista Bartholin,,,,,,,,
21377879,Bartholin’s glands abscess,巴索林式腺體囊腫,áp xe tuyến ở hai bên âm đạo,Kista kelenjar Bartholin,,,,,,,,
21377880,Myoma uteri,子宮肌瘤,u cơ tử cung,Mioma uteri,,,,,,,,
21377881,Endometriosis,子宮內膜異位,bệnh lạc nội mạc tử cung,Endometriosis,,,,,,,,
21377882,LMP (Last menstrual period),最後一次月經期,lmp (kỳ kinh nguyệt cuối cùng),Siklus haid terakhir,,,,,,,,
21377883,EDC (Expected date of confidence),預產期,ngày dự sinh,Hari perkiraan lahir,,,,,,,,
21377884,Fertilization,受精,thụ thai,Fertilisasi/ Pembuahan,,,,,,,,
21377885,Implantation,著床,cấy ghép,Nidasi,,,,,,,,
21377886,Embryo,胚胎,phôi thai,Embrio,,,,,,,,
21377887,Fetus,胎兒,thai,Janin,,,,,,,,
21377888,Fetal heart beat,胎心跳,nhịp tim thai nhi,Detak jantung janin,,,,,,,,
21377889,Fetal movement,胎動,sự chuyển động của thai nhi,Gerakan janin,,,,,,,,
21377890,Placenta,胎盤,nhau thai,Plasenta,,,,,,,,
21377891,Umbillical cord,臍帶,dây rốn,Tali pusar,,,,,,,,
21377892,Amniotic fluid,羊水,dịch đầu ối,Air ketuban,,,,,,,,
21377893,Amnion membrane,羊膜,màng ối,Selaput ketuban,,,,,,,,
21377894,Chorion villi,絨毛,nhung mao màng đệm nhau thai,Villi,,,,,,,,
21377895,Chorion membrane,絨毛膜,màng đệm,Korion,,,,,,,,
21377896,Morning sickness,害喜/孕吐,ốm nghén,Mual karena hamil,,,,,,,,
21377897,Edema,水腫,chứng phù,Edema,,,,,,,,
21377898,Hydramnion,羊水過多,đa ối,Polihidramnion,,,,,,,,
21377899,Oligoamnion,羊水過少,ít nước ối,Oligohidramnion,,,,,,,,
21377900,Pre-eclampsia,子癲前期症,tiền sản giật,Preeklamsia,,,,,,,,
21377901,Ectopic pregnancy,子宮外孕,mang thai ngoài dạ con,Kehamilan ektopik,,,,,,,,
21377902,Spontaneous abortion,自然流產,sẩy thai tự nhiên,Keguguran alami,,,,,,,,
21377903,Placenta praevia,前置胎盤,nhau tiền đạo,Plasenta previa,,,,,,,,
21377904,Artificial abortion/ D&C (Dilatation and curettage),人工流產,phá thai/d&c (nong và nạo),Aborsi induksi,,,,,,,,
21377905,Premature rupture fatal membrane,早期破水,vỡ ối non gây tử vong,Ketuban pecah dini,,,,,,,,
21377906,Labor pain,產前陣痛,đau đẻ,Kontraksi persalinan,,,,,,,,
21377907,Oxytocin,催產素,oxytocin,Oksitosin,,,,,,,,
21377908,Lactogen,泌乳素,lactogen,Prolaktin,,,,,,,,
21377909,Lactation,泌乳,tiết sữa,Laktasi,,,,,,,,
21377910,Vacuum delivery,真空吸引生產,sinh hút,Persalinan dengan ekstraksi vakum,,,,,,,,
21377911,Forceps delivery,產鉗生產,sinh đẻ sử dụng kẹp,Persalinan dengan ekstraksi forsep,,,,,,,,
21377912,CPD (Cephalic pelvis disproportion),胎頭骨盤不對稱,cpd (bất tương xứng đầu-chậu),Disproporsi kepala panggul,,,,,,,,
21377913,Episiotomy,會陰切開術,cắt tầng sinh môn,Episiotomi,,,,,,,,
21377914,Perineorrhaphy,會陰縫合術,khâu đáy chậu,Penjahitan perineum,,,,,,,,
21377915,Colporrhaphy,陰道修補術,khâu âm đạo,Vaginoplasti,,,,,,,,
21377916,C/S (caesarean section),剖腹生產,c/s (mổ lấy thai),Operasi Caesar,,,,,,,,
21377917,Premature,早產,sinh non,Kelahiran prematur,,,,,,,,
21377918,Still birth,死產,thai lưu,Lahir mati,,,,,,,,
21377919,Breech presentation,臀位,ngôi mông,Sungsang,,,,,,,,
21377920,Precocious puberty,性早熟,dậy thì sớm,Pubertas dini,,,,,,,,
21377921,Transverse presentation,橫位,thai ngôi ngang,Letak lintang,,,,,,,,
21377922,Twins,雙胞胎,sinh đôi,Kembar,,,,,,,,
21377923,"Fatal monitor, CTG",胎兒監視器,"màn hình siêu âm thai nhi, ctg",Alat monitor janin,,,,,,,,
21377924,Fatal distress,胎兒窘迫,suy thai,Gawat janin,,,,,,,,
21377925,Meconium,胎便,cứt su,Mekonium,,,,,,,,
21377926,Speculum,壓嘴器(陰道擴張器),phễu soi mỏ vịt,Spekulum vagina/ cocor bebek,,,,,,,,
21377927,Colposcope,陰道鏡檢查,nội soi âm đạo,Kolposkopi,,,,,,,,
21377928,Cauterization,燒灼,đốt điện,Kauterisasi,,,,,,,,
21377929,Oophorectomy,卵巢切除術,cắt buồng trứng,Ooforektomi,,,,,,,,
21377930,Ovariectomy/ Salpingectomy,輸卵管切除術,cắt bỏ ống dẫn trứng,Salpingektomi,,,,,,,,
21377931,Tubal ligation,輸卵管結紮,thắt ống dẫn trứng,Tubektomi,,,,,,,,
21377932,ATH (Trans-abdominal total hysterectomy),經腹部子宮全切除術,ath (cắt bỏ hoàn toàn tử cung qua thành bụng),Histerektomi total trans-abdominal,,,,,,,,
21377933,VTH (Trans-vagianl total hysterectomy),經陰道子宮全切除術,vth (cắt bỏ hoàn toàn tử cung qua âm đạo),Histerektomi total trans-vaginal,,,,,,,,
21377934,CVS (chorionic villi sampling),絨毛膜取樣術,cvs (sinh thiết gai nhau),Pengambilan sampel villus korionik,,,,,,,,
21377935,Amniocentesis,羊水刺穿術,chọc ối,Amniosentesis,,,,,,,,
21377936,Chromosome analysis,染色體分析,phân tích nhiễm sắc thể,Analisis kromosom,,,,,,,,
21377937,HSG (Hysteron salpingogram),子宮輸卵管攝影,hsg (chụp cản quang tử cung vòi trứng),Histerosalpingografi,,,,,,,,
21377938,Rubin test,輸卵管通氣試驗,xét nghiệm rubin,Uji patensi tuba fallopi,,,,,,,,
21377939,Infertility,不孕症,vô sinh,Infertilitas,,,,,,,,
21377940,Artificial fertilization,人工授精,thụ tinh nhân tạo,Inseminasi buatan,,,,,,,,
21377941,Test tube baby,試管嬰兒,trứng thụ tinh trong ống nghiệm,Bayi tabung,,,,,,,,
21377942,Breast,乳房,ngực ,Payudara,,,,,,,,
21377943,Mammary gland,乳腺,tuyến vú,Kelenjar susu,,,,,,,,
21377944,Areola,乳暈,quầng vú,Areola,,,,,,,,
21377945,Nipple,乳頭,núm vú,Puting susu,,,,,,,,
21377946,Mastitis,乳房炎,chứng viêm vú,Mastitis,,,,,,,,
21377947,Mastectomy,乳房切除術,thủ thuật cắt bỏ vú,Mastektomi,,,,,,,,
21377948,Mammoplasty,乳房整形術,thủ thuật tạo hình vú,Mammoplasti (Bedah plastik payudara),,,,,,,,
21395896,1955 Hotline,1955勞工諮詢申訴專線,"Đường dây nóng tư vấn, khiếu nại dành cho lao động 1955",Hotline 1955,,,,勞動部,,,1955  Labor Consultation and Complaint Hotline,
21395897,Foreign Worker,移工,Lao động nhập cư,Pekerja Migran,,,,勞動部,,,Migranteng Manggagawa,
21395898,Foreign Workers One-Stop Service,移工一站式服務,Dịch vụ một cửa dành cho lao động nhập cư,Layanan Satu Atap Pekerja Migran,,,,勞動部,,,One-Stop Service para sa mga Migranteng Manggagawa,
21395899,1955 E-LINE,1955LINE@移點通,1955 LINE@E-LINE,"Layanan LINE 1955 ""E-Line""",,,,勞動部,,,1955@E-Line,
21395900,Foreign National Labor Rights Portal,外國人勞動權益網,Trang web Quyền lợi lao động của người nước ngoài,Portal Hak dan Kesejahteraan Tenaga Kerja Asing,,,,勞動部,,,Website ng Karapatan sa Paggawa ng mga Migranteng Manggagawa,
21395901,Foreign skilled workers,外國技術人力,Nhân lực kỹ thuật nước ngoài,Pekerja Migran Terampil ,,,,勞動部,,,Mga Dayuhang Teknikal na Manggagawa,
21395902,"Multi-Companion Service, MCS / This should be Diverse Companionship and Care Services",多元陪伴照顧服務, Dịch vụ chăm sóc và đồng hành đa dạng.,Layanan Pendampingan dan Perawatan Terpadu,,,,勞動部,,,Iba’t Ibang Uri ng Serbisyo sa Pag-aalaga at Pagsama,
21395903,Life care service plan,生活照顧服務計畫書,Tài liệu kế hoạch dịch vụ chăm sóc đời sống,Rencana Layanan Perawatan Harian,,,,勞動部,,,Plano para sa Serbisyo ng Pang-araw-araw na Pangangalaga,
21395904,Expanded respite services for families that employ live-in foreign care workers,擴大外籍看護工家庭使用喘息服務,Mở rộng dịch vụ chăm sóc thay thế cho gia đình có khán hộ công người nước ngoài,Memperluas Penggunaan Layanan Istirahat Sementara Oleh Keluarga Perekrut Perawat Rumah Tangga Asing,,,,勞動部,,,Pinalawak na Serbisyo ng Pansamantalang Pahinga para sa mga Pamilyang may Dayuhang Tagapag-alaga,
21395905,Short-term substitute care services implementation plan for families that employ live-in foreign care workers,聘僱外籍看護工家庭短期替代照顧服務實施計畫,Kế hoạch triển khai dịch vụ chăm sóc thay thế ngắn hạn dành cho gia đình có tuyển dụng khán hộ công người nước ngoài,Rencana Pelaksanaan Layanan Perawatan Pengganti Jangka Pendek untuk Keluarga Perekrut Perawat Rumah Tangga Asing,,,,勞動部,,, Plano ng Pagsasagawa para sa Panandaliang Pamalit na Serbisyo ng Pag-aalaga para sa mga Pamilyang may Dayuhang Tagapag-alaga,
21395906,Long-term Retention of Migrant Workers Service Center,移工留才久用服務中心,Trung tâm Dịch vụ giữ chân lao động nước ngoài ưu tú làm việc lâu dài ,Pusat Layanan Retensi Pekerja Migran,,,,勞動部,,,Sentro ng Serbisyo para sa Pananatili at Pangmatagalang Paggamit ng mga Migranteng Manggagawa,
21395907,Initial recruitment permit,初次招募許可,Giấy phép tuyển dụng lần đầu,Izin Perekrutan Perdana,,,,勞動部,,,Paunang Pahintulot sa Pagre-recruit,
21395908,Re-recruitment permit,重新招募許可,Giấy phép tái tuyển dụng,Izin Perekrutan Ulang,,,,勞動部,,,Pahintulot sa Muling Pagre-recruit,
21395909,Employment permit,聘僱許可,Giấy phép tuyển dụng lao động,Izin Kerja,,,,勞動部,,,Pahintulot sa Pag-eempleyo,
21395910,Employment demands certificate,求才證明書,Giấy chứng nhận nhu cầu tuyển dụng.,Sertifikat Bukti Rekrutmen,,,,勞動部,,,Sertipiko ng Alok sa Trabaho,
21395911,Review fee receipt,審查費,Phí xét duyệt,Biaya Pemeriksaan Dokumen,,,,勞動部,,,Bayad sa Pagsusuri,
21395912,Consecutive employment permit,接續聘僱許可,Giấy phép tiếp tục tuyển dụng,Izin Penerusan Izin Kerja,,,,勞動部,,,Pahintulot sa Sunod na Pag-eempleyo,
21395913,Recruitment permit,招募許可,Giấy phép tuyển dụng,Izin Perekrutan,,,,勞動部,,,Pahintulot sa Pagre-recruit,
21395914,Family nursing job,家庭看護工作,Công việc chăm sóc tại gia đình,Pekerjaan Perawatan Rumah Tangga,,,,勞動部,,,Trabahong Pag-aalaga sa Loob ng Tahanan,
21395915,Housemaid jobs,家庭幫傭工作,Công việc giúp việc gia đình,Pekerjaan Asisten Rumah Tangga,,,,勞動部,,,Trabaho bilang Katulong sa Bahay,
21395916,Institutional nursing jobs,機構看護工作,Công việc chăm sóc tại cơ sở,Pekerjaan Perawat Institusional,,,,勞動部,,,Trabaho ng Pag-aalaga sa Loob ng Institusyon,
21395917,EZ Work Taiwan,外國人在臺工作服務網,Trang web Dịch vụ việc làm cho người nước ngoài tại Đài Loan,Portal Layanan Ketenagakerjaan untuk Tenaga Kerja Asing di Taiwan,,,,勞動部,,,Online na Serbisyo para sa mga Dayuhang Manggagawa sa Taiwan,
21395918,EZ Work Permit,外國專業人員工作許可申辦網,Trang web Đăng ký giấy phép làm việc cho nhân viên chuyên nghiệp người nước ngoài,Portal Pengajuan Izin Kerja Tenaga Profesional Asing,,,,勞動部,,,Website para sa Pag-aapply ng Work Permit ng mga Dayuhang Propesyonal,
21395919,Qualifications and Criteria Standards for foreigners undertaking the jobs specified under Article 46.1.1 to 46.1.6 of the Employment Service Act,外國人從事就業服務法第46條第1項第1款至第6款工作資格及審查標準,"Tiêu chuẩn xét duyệt và tư cách làm việc của người nước ngoài theo khoản 1 đến  khoản 6 , mục 1, Điều 46 của Luật Dịch vụ việc làm ",Standar Kualifikasi dan Peninjauan Pekerjaan Tenaga Kerja Asing Berdasarkan Pasal 46 Ayat 1 Butir 1 hingga 6 Undang-Undang Layanan Ketenagakerjaan,,,,勞動部,,,"Mga Kwalipikasyon at Pamantayan sa Pagsusuri para sa mga Migranteng Manggagawa sa ilalim ng Artikulo 46, Talata 1, Bahagi 1 hanggang 6 ng Batas sa Serbisyo ng Pagtatrabaho",
21395920,The Qualifications and Criteria Standards of the Employment of Foreign Professionals Engaging in Professional Knowledge or Skills for Short-term Supplementary Learning Centers,短期補習班聘僱外國專業人才從事具專門知識或技術教師工作資格及審查標準,Tiêu chuẩn xét duyệt và tư cách làm việc của giáo viên giảng dạy lý thuyết và thực hành được thuê bởi các trung tâm dạy thêm ngắn hạn,Standar Kualifikasi dan Pemeriksaan untuk Perekrutan Tenaga Profesional Asing sebagai Pengajar dengan Keahlian atau Teknis Khusus di Bimbingan Belajar Jangka Pendek,,,,勞動部,,,Mga Kwalipikasyon at Pamantayan sa Pagsusuri para sa mga Dayuhang Propesyonal na Ineempleyo ng Mga Pansamantalang Review Center bilang mga Guro ng Espesyal na Kaalaman o Teknikal na Kasanayan,
21395921,Specialized or Technical Works,專門性或技術性工作,Công việc có tính chất chuyên môn hoặc kỹ thuật,Pekerjaan dengan Keahlian atau Teknik Khusus,,,,勞動部,,, Espesyal o Teknikal na Trabaho,
21395922,The Director or Manager of an Approved Business Invested or Established by Overseas Chinese or Foreigner(s),華僑或外國人經政府核准投資或設立事業之主管工作,Công việc quản lý dành cho người Hoa kiều hoặc người nước ngoài sau khi được chính phủ phê duyệt đầu tư hoặc thành lập doanh nghiệp,Pekerjaan Sebagai Pengelola di Perusahaan yang Didirikan atau Diinvestasikan oleh Warga Tionghoa Perantauan atau Warga Asing yang Disetujui Oleh Pemerintah,,,,勞動部,,, Pamamahalang Trabaho ng mga Overseas Chinese o Dayuhan na Inaprubahan ng Pamahalaan na Mag-invest o Magtatag ng Negosyo,
21395923,Contracting Foreigners,履約人員,Nhân viên hợp đồng,Personel Pelaksana Kontrak,,,,勞動部,,,Mga Tauhan para sa Pagsasakatuparan ng Kontrata,
21395924,Overseas Chinese or Foreign Student Graduated in the R.O.C. to Work in Taiwan,畢業僑外生留臺工作,Sinh viên Hoa kiều hoặc sinh viên nước ngoài tốt nghiệp ở lại Đài Loan làm việc,Pelajar Tionghoa Perantauan dan Pelajar Asing Lulusan Taiwan yang Bekerja di Taiwan,,,,勞動部,,,Pagtatrabaho sa Taiwan ng mga Dayuhan o Overseas na naka tapos sa Mag-aaral,
21395925,Vocational training living allowances,職業訓練生活津貼,Trợ cấp sinh hoạt trong quá trình đào tạo nghề,Tunjangan Biaya Hidup untuk Pelatihan Kerja,,,,勞動部,,,Tulong sa Gastusin sa Pamumuhay habang Nasa Bokasyonal na Pagsasanay,
21395926,Pre-employment training for the unemployed,失(待)業者職前訓練,Đào tạo trước khi làm việc cho người thất nghiệp (hoặc đang chờ việc),Pelatihan Pra-Kerja bagi Pengangguran (atau Pencari Kerja),,,,勞動部,,,Pre-employment Training para sa mga Walang Trabaho,
21395927,Self-Conducted Training,自辦訓練,Tự tổ chức đào tạo,Pelatihan Mandiri,,,,勞動部,,,Sariling Inisyatibong Pagsasanay,
21395928,Outsourcing Training,委外訓練,Đào tạo thuê ngoài,Pelatihan Alih Daya,,,,勞動部,,,Outsourced o Ipinagkatiwalang Pagsasanay,
21395929,Subsidize vocational training,補助訓練,Trợ cấp đào tạo,Pelatihan Bersubsidi,,,,勞動部,,,Pinansyal na Tulong sa Pagsasanay,
21395930,Vocational Training of Care Services,辦理照顧服務職類職業訓練,Đào tạo nghề trong lĩnh vực dịch vụ chăm sóc,Penyelenggaraan Pelatihan Kerja di Bidang Layanan Keperawatan,,,,勞動部,,,Bokasyonal na Pagsasanay para sa Serbisyo ng Pangangalaga,
21395931,Promotion of Pre-Employment Training by Enterprises,推動事業單位辦理職前培訓計畫,Kế hoạch Thúc đẩy các doanh nghiệp tổ chức đào tạo trước khi làm việc,Mendorong Perusahaan Menyelenggarakan Program Pelatihan Pra-Kerja,,,,勞動部,,,Pagtataguyod ng Pre-employment Training Programs para sa mga Negosyo,
21395932,Multi-beneficiary Vocational Training Program,充電起飛計畫,Kế hoạch Đào tạo nghề đa đối tượng,Program Pelatihan Vokasi Multi-Penerima Manfaat,,,,勞動部,,, Programang Recharge at Simulang Muli,
21395933,Small Enterprises Talent Skill Progressive Program,小型企業人力提升計畫,Kế hoạch nâng cao nguồn nhân lực cho doanh nghiệp nhỏ,Program Peningkatan Tenaga Kerja UMKM,,,,勞動部,,,Programa sa Pagpapahusay ng Manpower para sa Maliliit na Negosyo,
21395934,Self-Management On-the-job training of Regional Branch of Workforce Development Agency,分署自辦在職訓練,Chi nhánh tự tổ chức đào tạo tại chức,Pelatihan Kerja Mandiri oleh Cabang Daerah Ditjen Pengembangan Tenaga Kerja,,,,勞動部,,,On-the-Job Training mula sa Regional Office ng Ahensya,
21395935,Enterprise Human Resource Upgrade Plan,企業人力資源提升計畫,Kế hoạch nâng cao nguồn lực nhân sự doanh nghiệp,Program Peningkatan Sumber Daya Manusia Perusahaan,,,,勞動部,,,Programa sa Pagpapahusay ng Human Resources ng mga Kumpanya,
21395936,Recharge and Restart Training Program,充電再出發訓練計畫,"Chương trình đào tạo nạp năng lượng, tái khởi động",Program Pelatihan Revitalisasi dan Reaktivasi,,,,勞動部,,,"Pagsasanay sa ilalim ng Programang ""Recharge at Muling Magsimula",
21395937,The Training Subsidy Program for Stable Employment of the Middle-aged and Elderly Employees,在職中高齡者及高齡者穩定就業訓練補助實施計畫,"Kế hoạch thực hiện trợ cấp đào tạo nhằm đảm bảo việc làm ổn định cho người lao động trung, cao niên tại chức và người cao tuổi",Program Subsidi Pelatihan untuk Stabilitas Kerja bagi Pekerja Paruh Baya dan Lansia yang Sedang Bekerja,,,,勞動部,,,Programang Tulong sa Pagsasanay para sa Matatag na Trabaho ng mga Manggagawang Gitna at Matanda ang Edad,
